codigo,label_pt,dominio_num,dominio,classe_num,classe,definicao,status
00374,Risco de sangramento excessivo,11,Segurança/proteção,2,Lesão física,Suscetibilidade a uma perda de sangue significativa.,Ativo na NANDA-I 2024-2026
00375,Comportamentos ineficazes de higiene oral,4,Atividade/repouso,5,Autocuidado,Dificuldade em empregar consistentemente práticas e hábitos que resultam na manutenção da saúde oral.,Ativo na NANDA-I 2024-2026
00376,Disposição para conforto social melhorado,12,Conforto,3,Conforto social,"Padrão de tranquilidade, contentamento e bem-estar relacional, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00377,Disposição para conforto psicológico melhorado,12,Conforto,4,Conforto psicológico,"Padrão de tranquilidade, contentamento e bem-estar mental, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00378,Disposição para conforto físico melhorado,12,Conforto,1,Conforto físico,"Padrão de tranquilidade, contentamento e bem-estar corporal, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00379,Conforto psicológico prejudicado,12,Conforto,4,Conforto psicológico,"Percepção de falta de tranquilidade, contentamento e bem-estar mental.",Ativo na NANDA-I 2024-2026
00380,Conforto físico prejudicado,12,Conforto,1,Conforto físico,"Percepção de falta de tranquilidade, contentamento e bem-estar corporal.",Ativo na NANDA-I 2024-2026
00382,Risco de amamentação exclusiva conturbada,2,Nutrição,1,Ingestão,"Suscetibilidade a interferência no processo de fornecimento exclusivo de leite humano a um lactente de até 6 meses de idade, em indivíduos cuja produção de leite humano é adequada.",Ativo na NANDA-I 2024-2026
00383,Conexão social inadequada,12,Conforto,3,Conforto social,"Sentimento de não pertencer, não ser cuidado ou não ser empoderado em um determinado contexto.",Ativo na NANDA-I 2024-2026
00384,Autogestão ineficaz da náusea,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados a uma sensação desagradável no estômago, que pode ou não resultar em êmese.",Ativo na NANDA-I 2024-2026
00386,Função sexual prejudicada,8,Sexualidade,2,Função sexual,"Dificuldade de passar pelos estágios do ciclo de resposta sexual, o que é percebido como insatisfatório, não gratificante ou inadequado.",Ativo na NANDA-I 2024-2026
00387,Conflito excessivo no papel parental,7,Papéis e relacionamentos,1,Papéis do cuidador,"Experiência do cuidador principal com expectativas e responsabilidades inconsistentes, conflitantes e/ou incongruentes para atender às necessidades da criança.",Ativo na NANDA-I 2024-2026
00388,Processos familiares prejudicados,7,Papéis e relacionamentos,2,Relações familiares,Relações familiares que falham em apoiar o bem-estar de seus membros.,Ativo na NANDA-I 2024-2026
00389,Padrões de interação familiar conturbados,7,Papéis e relacionamentos,2,Relações familiares,Organização e estrutura da família que falha em apoiar o bem-estar de seus membros.,Ativo na NANDA-I 2024-2026
00390,Medo excessivo,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Resposta emocional intensa desproporcional despertada pela detecção de uma ameaça iminente.,Ativo na NANDA-I 2024-2026
00395,Risco de comportamentos ineficazes de manutenção da saúde,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo de conhecimento em saúde, atitudes e práticas subjacentes a ações de saúde que é insatisfatório para manter ou melhorar o bem-estar ou prevenir doenças e lesões.",Ativo na NANDA-I 2024-2026
00397,Autogestão ineficaz da fadiga,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados a uma sensação opressiva constante de exaustão e baixos níveis de energia para as atividades diárias.",Ativo na NANDA-I 2024-2026
00398,Autogestão ineficaz do sobrepeso,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados ao acúmulo de gordura excessiva para a idade e o sexo.",Ativo na NANDA-I 2024-2026
00399,Ansiedade excessiva relacionada à morte,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Insegurança e angústia emocional opressivas causadas pela antecipação da própria morte ou da morte de outras pessoas.,Ativo na NANDA-I 2024-2026
00400,Ansiedade excessiva,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Preocupação desproporcional e persistente com situações e eventos percebidos como ameaçadores.,Ativo na NANDA-I 2024-2026
00401,Risco de carga excessiva de prestação de cuidados,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Suscetibilidade à tensão multidimensional opressiva ao cuidar de uma pessoa significativa.,Ativo na NANDA-I 2024-2026
00402,Risco de lesão física ocupacional,11,Segurança/proteção,4,Riscos ambientais,Suscetibilidade a dano corporal relacionado ao trabalho.,Ativo na NANDA-I 2024-2026
00404,Risco de doença ocupacional,11,Segurança/proteção,4,Riscos ambientais,Suscetibilidade a condição ou distúrbio relacionado ao trabalho resultantes de um evento ou exposição não imediatos.,Ativo na NANDA-I 2024-2026
00405,Enfrentamento desadaptativo,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Esforços cognitivos e/ou comportamentais contraproducentes para manejar uma situação estressante ou desagradável.,Ativo na NANDA-I 2024-2026
00406,Risco de amamentação ineficaz,2,Nutrição,1,Ingestão,"Suscetibilidade a dificuldade de fornecer ou receber leite humano da mama, o que pode comprometer o estado nutricional de um lactente ou criança.",Ativo na NANDA-I 2024-2026
00407,Risco de padrão de sono ineficaz,4,Atividade/repouso,1,Sono/repouso,"Suscetibilidade a dificuldade de vivenciar a suspensão natural e periódica da consciência relativa, o que prejudica negativamente a função.",Ativo na NANDA-I 2024-2026
00408,Risco de comportamentos ineficazes de higiene do sono,4,Atividade/repouso,1,Sono/repouso,"Suscetibilidade a dificuldade de utilizar consistentemente práticas, rituais e hábitos que resultam no início ou na manutenção do sono e em um sono reparador.",Ativo na NANDA-I 2024-2026
00409,Risco de ingestão nutricional inadequada,2,Nutrição,1,Ingestão,Suscetibilidade a consumo de nutrientes insuficiente para atender às necessidades metabólicas.,Ativo na NANDA-I 2024-2026
00410,Risco de gestão ineficaz da saúde familiar,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de sintomas, regime terapêutico e mudanças no estilo de vida para atender às metas específicas de saúde da unidade familiar.",Ativo na NANDA-I 2024-2026
00411,Risco de letramento em saúde inadequado,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a um padrão insatisfatório de obtenção, avaliação e aplicação de informações e serviços básicos de saúde necessários à tomada de decisão em saúde.",Ativo na NANDA-I 2024-2026
00412,Risco de autogestão ineficaz da boca seca,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados à redução da secreção salivar.",Ativo na NANDA-I 2024-2026
00413,Risco de gestão ineficaz da saúde da comunidade,1,Promoção da saúde,2,Gestão da saúde,Suscetibilidade a manejo insatisfatório de problemas de saúde ou fatores que impedem o bem-estar ou aumentam o risco de problemas de saúde vivenciados por uma população.,Ativo na NANDA-I 2024-2026
00414,Risco de comportamentos ineficazes de higiene oral,4,Atividade/repouso,5,Autocuidado,Suscetibilidade a uma dificuldade em empregar consistentemente práticas e hábitos que resultam na manutenção da saúde oral.,Ativo na NANDA-I 2024-2026
00417,Disposição para padrão de sono melhorado,4,Atividade/repouso,1,Sono/repouso,"Padrão de suspensão natural e periódica da consciência relativa, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00418,Autogestão ineficaz da dor,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida relacionados a uma experiência sensorial e emocional desagradável que se assemelha àquela associada a um dano real ou potencial ao tecido.",Ativo na NANDA-I 2024-2026
00419,Disposição para ingestão nutricional melhorada,2,Nutrição,1,Ingestão,"Padrão de consumo de nutrientes que atende às necessidades metabólicas, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00420,Risco de volume de líquidos inadequado,2,Nutrição,5,Hidratação,"Suscetibilidade a diminuição de líquido intracelular e/ou extracelular, não incluindo o sangue.",Ativo na NANDA-I 2024-2026
00421,Volume de líquidos inadequado,2,Nutrição,5,Hidratação,"Diminuição de líquido intracelular e/ou extracelular, não incluindo o sangue.",Ativo na NANDA-I 2024-2026
00422,Risco de motilidade gastrintestinal prejudicada,3,Eliminação e troca,2,Função gastrintestinal,"Suscetibilidade a atividade peristáltica aumentada, diminuída, ineficaz ou ausente no sistema gastrintestinal.",Ativo na NANDA-I 2024-2026
00423,Motilidade gastrintestinal prejudicada,3,Eliminação e troca,2,Função gastrintestinal,"Atividade peristáltica aumentada, diminuída, ineficaz ou ausente no sistema gastrintestinal.",Ativo na NANDA-I 2024-2026
00424,Continência fecal prejudicada,3,Eliminação e troca,2,Função gastrintestinal,"Inabilidade de controlar os esfincteres anais, com passagem involuntária de fezes e flatos.",Ativo na NANDA-I 2024-2026
00425,Risco de função neurovascular periférica prejudicada,11,Segurança/proteção,2,Lesão física,"Suscetibilidade a alteração na circulação, na sensibilidade e no movimento de uma extremidade.",Ativo na NANDA-I 2024-2026
00429,Tomada de decisão prejudicada,5,Percepção/cognição,4,Cognição,"Inabilidade de fazer escolhas adequadas, o que pode ter impacto negativo nas metas relacionadas à saúde, no bem-estar e na qualidade de vida.",Ativo na NANDA-I 2024-2026
00430,Resposta prejudicada ao desmame ventilatório do adulto,4,Atividade/repouso,4,Respostas cardiovasculares/pulmonares,Inabilidade de fazer a transição para ventilação espontânea com sucesso em indivíduos com idade > 18 anos que necessitaram de ventilação mecânica por pelo menos 24 horas.,Ativo na NANDA-I 2024-2026
00431,Resposta prejudicada ao desmame ventilatório da criança,4,Atividade/repouso,4,Respostas cardiovasculares/pulmonares,Inabilidade de fazer a transição para ventilação espontânea com sucesso em indivíduos com idade < 18 anos que necessitaram de ventilação mecânica por pelo menos 24 horas.,Ativo na NANDA-I 2024-2026
00434,Risco de comunicação verbal prejudicada,5,Percepção/cognição,5,Comunicação,"Suscetibilidade a limitação ou ausência da habilidade de receber, processar, transmitir e/ou usar um sistema de símbolos.",Ativo na NANDA-I 2024-2026
00435,Conhecimento de saúde inadequado,5,Percepção/cognição,4,Cognição,"Insuficiência na aquisição, no processamento, na compreensão e/ou na recordação de informações relacionadas a um tópico específico que afete o bem-estar da pessoa.",Ativo na NANDA-I 2024-2026
00436,Comportamentos parentais prejudicados,7,Papéis e relacionamentos,1,Papéis do cuidador,"Limitação do cuidador principal para criar, proteger e promover o crescimento e desenvolvimento ideais da criança por meio do exercício consistente e empático de autoridade e resposta adequada às necessidades da criança.",Ativo na NANDA-I 2024-2026
00437,Risco de comportamentos parentais prejudicados,7,Papéis e relacionamentos,1,Papéis do cuidador,"Suscetibilidade a uma limitação do cuidador principal para criar, proteger e promover o crescimento e desenvolvimento ideais da criança por meio do exercício consistente e empático de autoridade e resposta adequada às necessidades da criança.",Ativo na NANDA-I 2024-2026
00438,Disposição para comportamentos parentais melhorados,7,Papéis e relacionamentos,1,Papéis do cuidador,"Padrão do cuidador principal de criar, proteger e promover o crescimento e desenvolvimento ideais da criança por meio do exercício consistente e empático de autoridade e resposta adequada às necessidades da criança, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00439,Risco de comportamentos de apego conturbados,7,Papéis e relacionamentos,2,Relações familiares,Suscetibilidade a uma perturbação do processo interativo entre o cuidador primário e o lactente que promove atividades que demonstram uma relação recíproca de proteção e carinho.,Ativo na NANDA-I 2024-2026
00440,Risco de padrões de interação familiar conturbados,7,Papéis e relacionamentos,2,Relações familiares,Suscetibilidade a organização e estrutura da família que falha em apoiar o bem-estar de seus membros.,Ativo na NANDA-I 2024-2026
00442,Disposição para habilidades de autocuidado melhoradas,4,Atividade/repouso,5,Autocuidado,"Padrão de desempenho independente das atividades da vida diária, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00445,Risco de relacionamento ineficaz com o parceiro íntimo,7,Papéis e relacionamentos,3,Desempenho de papéis,"Suscetibilidade a um padrão de mutualidade que é insuficiente ou que pode afetar o curso, o prognóstico ou o tratamento de uma condição de saúde de um ou ambos os parceiros.",Ativo na NANDA-I 2024-2026
00446,Disposição para relacionamento com o parceiro íntimo melhorado,7,Papéis e relacionamentos,3,Desempenho de papéis,"Padrão de mutualidade que pode apoiar o curso, o prognóstico ou o tratamento de uma condição de saúde de um ou ambos os parceiros, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00447,Disposição para autogestão do peso melhorada,1,Promoção da saúde,2,Gestão da saúde,"Padrão de busca e/ou manutenção de um peso corporal saudável, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00448,Risco de engajamento diminuído em atividades de recreação,1,Promoção da saúde,1,Percepção da saúde,"Suscetibilidade a estimulação, interesse ou participação reduzidos em atividades recreativas ou de lazer.",Ativo na NANDA-I 2024-2026
00449,Relacionamento ineficaz com o parceiro íntimo,7,Papéis e relacionamentos,3,Desempenho de papéis,"Padrão de mutualidade que é insuficiente ou que pode afetar o curso, o prognóstico ou o tratamento de uma condição de saúde de um ou ambos os parceiros.",Ativo na NANDA-I 2024-2026
00451,Organização prejudicada do neurodesenvolvimento do lactente,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Coordenação diminuída das habilidades cognitivas, motoras e sensoriais, o que pode levar a atrasos para atingir os marcos de desenvolvimento em indivíduos com menos de 1 ano de idade.",Ativo na NANDA-I 2024-2026
00452,Risco de organização prejudicada do neurodesenvolvimento do lactente,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Suscetibilidade a coordenação diminuída das habilidades cognitivas, motoras e sensoriais, o que pode levar a atrasos para atingir os marcos de desenvolvimento em indivíduos com menos de 1 ano de idade.",Ativo na NANDA-I 2024-2026
00453,Disposição para organização melhorada do neurodesenvolvimento do lactente,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Padrão de coordenação das habilidades cognitivas, motoras e sensoriais necessárias para atingir os marcos do desenvolvimento em um indivíduo com menos de 1 ano de idade, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00454,Bem-estar espiritual prejudicado,10,Princípios da vida,3,Coerência entre valores/crenças/atos,"Integração diminuída de significado e propósito na vida por meio de conexões consigo mesmo, com os outros, com o mundo e/ou com um poder maior que si mesmo.",Ativo na NANDA-I 2024-2026
00456,Enfrentamento desadaptativo da comunidade,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Padrão de atividades da comunidade para adaptação e resolução de problemas que é insatisfatório para atender às demandas ou necessidades da comunidade.,Ativo na NANDA-I 2024-2026
00460,Risco de bem-estar espiritual prejudicado,10,Princípios da vida,3,Coerência entre valores/crenças/atos,"Suscetibilidade à integração diminuída de significado e propósito à vida por meio de conexões consigo mesmo, com os outros, com o mundo e/ou com um poder maior que si mesmo.",Ativo na NANDA-I 2024-2026
00461,Integridade do complexo mamilo-areolar prejudicada,11,Segurança/proteção,2,Lesão física,Dano localizado à área pigmentada da mama como resultado de umidade excessiva e/ou microtraumas repetidos durante a amamentação.,Ativo na NANDA-I 2024-2026
00462,Risco de integridade do complexo mamilo-areolar prejudicada,11,Segurança/proteção,2,Lesão física,Suscetibilidade a dano localizado à área pigmentada da mama como resultado de umidade excessiva e/ou microtraumas repetidos durante a amamentação.,Ativo na NANDA-I 2024-2026
00463,Risco de sufocamento acidental,11,Segurança/proteção,2,Lesão física,Suscetibilidade a uma disponibilidade de oxigênio inadequada.,Ativo na NANDA-I 2024-2026
00464,Risco de recuperação cirúrgica prejudicada,4,Atividade/repouso,3,Equilíbrio de energia,Suscetibilidade a alterações fisiológicas ou psicológicas perioperatórias que aumentam o período de recuperação necessário para atingir e/ou melhorar o estado de saúde funcional pré-operatório.,Ativo na NANDA-I 2024-2026
00465,Recuperação cirúrgica prejudicada,4,Atividade/repouso,3,Equilíbrio de energia,Alterações fisiológicas ou psicológicas perioperatórias que aumentam o período de recuperação necessário para atingir e/ou melhorar o estado de saúde funcional pré-operatório.,Ativo na NANDA-I 2024-2026
00466,Risco de comportamento autolesivo suicida,11,Segurança/proteção,3,Violência,"Suscetibilidade a agir de forma prejudicial contra si mesmo, associado a uma intenção de morrer.",Ativo na NANDA-I 2024-2026
00467,Comportamento autolesivo não suicida,11,Segurança/proteção,3,Violência,Danos deliberados e autoinfligidos sem intenção de suicídio ou desvio sexual e para fins que não são socialmente sancionados.,Ativo na NANDA-I 2024-2026
00468,Risco de comportamento autolesivo não suicida,11,Segurança/proteção,3,Violência,Suscetibilidade a danos deliberados e autoinfligidos sem intenção de suicídio ou desvio sexual e para fins que não são socialmente sancionados.,Ativo na NANDA-I 2024-2026
00469,Risco de intoxicação acidental,11,Segurança/proteção,4,Riscos ambientais,"Suscetibilidade a ingestão, injeção, inalação ou exposição inesperada a substâncias nocivas.",Ativo na NANDA-I 2024-2026
00471,Risco de hipertermia,11,Segurança/proteção,6,Termorregulação,"Suscetibilidade à elevação anormal da temperatura corporal, geralmente como resultado da inabilidade de regular a temperatura corporal central devido a fatores não patológicos. [Consulte critérios de estadiamento.]",Ativo na NANDA-I 2024-2026
00472,Temperatura corporal diminuída,11,Segurança/proteção,6,Termorregulação,Queda não intencional no estado térmico interno abaixo da faixa diurna normal em indivíduos com mais de 28 dias de vida. [Consulte critérios de estadiamento apropriados e validados.],Ativo na NANDA-I 2024-2026
00473,Risco de temperatura corporal diminuída,11,Segurança/proteção,6,Termorregulação,Suscetibilidade à queda não intencional no estado térmico interno abaixo da faixa diurna normal em indivíduos com mais de 28 dias de vida. [Consulte critérios de estadiamento apropriados e validados.],Ativo na NANDA-I 2024-2026
00474,Temperatura corporal neonatal diminuída,11,Segurança/proteção,6,Termorregulação,Queda não intencional no estado térmico abaixo da faixa diurna normal em indivíduos com até 28 dias de vida. [Consulte critérios de estadiamento da hipotermia apropriados e validados.],Ativo na NANDA-I 2024-2026
00475,Solidão excessiva,12,Conforto,3,Conforto social,"Sentimento opressivo de tristeza, desânimo ou desconforto associado à falta de companhia ou ao fato de estar separado de outras pessoas.",Ativo na NANDA-I 2024-2026
00476,Risco de temperatura corporal neonatal diminuída,11,Segurança/proteção,6,Termorregulação,Suscetibilidade à queda não intencional no estado térmico abaixo da faixa diurna normal em indivíduos com até 28 dias de vida. [Consulte critérios de estadiamento da hipotermia apropriados e validados.],Ativo na NANDA-I 2024-2026
00477,Carga excessiva de fadiga,4,Atividade/repouso,3,Equilíbrio de energia,Sensação opressiva e prolongada de exaustão e habilidade diminuída de realizar trabalho físico e mental no nível habitual.,Ativo na NANDA-I 2024-2026
00478,Risco de crescimento atrasado da criança,13,Crescimento/desenvolvimento,1,Crescimento,"Suscetibilidade a altura, comprimento, índice de massa corporal, circunferência da cabeça e/ou velocidade de crescimento (cm/ano) inadequados para o sexo, a idade e a etnia de um indivíduo ≤ 18 anos de idade.",Ativo na NANDA-I 2024-2026
00479,Disposição para amamentação melhorada,2,Nutrição,1,Ingestão,"Padrão de fornecimento de leite humano a um lactente ou uma criança, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00480,Risco de autoestima inadequada crônica,6,Autopercepção,2,Autoestima,"Suscetibilidade a uma percepção negativa duradoura sobre o valor próprio, a autoaceitação, o autorrespeito, a competência e a atitude em relação a si mesmo.",Ativo na NANDA-I 2024-2026
00481,Autoestima inadequada situacional,6,Autopercepção,2,Autoestima,"Mudança de percepção positiva para negativa sobre o valor próprio, a autoaceitação, o autorrespeito, a competência e a atitude em relação a si mesmo, em resposta a uma situação atual.",Ativo na NANDA-I 2024-2026
00482,Risco de autoestima inadequada situacional,6,Autopercepção,2,Autoestima,"Suscetibilidade a uma mudança de percepção positiva para negativa sobre o valor próprio, a autoaceitação, o autorrespeito, a competência e a atitude em relação a si mesmo, em resposta a uma situação atual.",Ativo na NANDA-I 2024-2026
00483,Autoestima inadequada crônica,6,Autopercepção,2,Autoestima,"Percepção negativa duradoura sobre o valor próprio, a autoaceitação, o autorrespeito, a competência e a atitude em relação a si mesmo.",Ativo na NANDA-I 2024-2026
00484,Risco de transição imigratória conturbada,9,Enfrentamento/tolerância ao estresse,1,Respostas pós-trauma,Suscetibilidade a consequências e sentimentos negativos durante o processo de realocação e adaptação do país de origem.,Ativo na NANDA-I 2024-2026
00485,Autogestão ineficaz do baixo peso,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados a um peso corporal inferior às normas padronizadas para a idade e o sexo.",Ativo na NANDA-I 2024-2026
00486,Risco de autogestão ineficaz do baixo peso,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados a um peso corporal inferior às normas padronizadas para a idade e o sexo.",Ativo na NANDA-I 2024-2026
00487,Risco de autogestão ineficaz do sobrepeso,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados ao acúmulo de gordura excessiva para a idade e o sexo.",Ativo na NANDA-I 2024-2026
00488,Risco de dignidade humana prejudicada,6,Autopercepção,1,Autoconceito,Suscetibilidade à percepção de perda de respeito e honra.,Ativo na NANDA-I 2024-2026
00489,Risco de autogestão ineficaz do padrão de glicemia,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de sintomas, regime terapêutico e mudanças no estilo de vida associados à convivência com flutuações recorrentes no nível de glicose sanguínea fora da faixa desejável.",Ativo na NANDA-I 2024-2026
00490,Risco de temperatura corporal perioperatória diminuída,11,Segurança/proteção,6,Termorregulação,"Suscetibilidade a uma queda inadvertida na temperatura corporal central abaixo de 36 °C, que ocorre no período entre 1 hora antes até 24 horas após uma cirurgia.",Ativo na NANDA-I 2024-2026
00491,Risco de equilíbrio hidreletrolítico prejudicado,2,Nutrição,5,Hidratação,Suscetibilidade a alterações nos níveis séricos de eletrólitos.,Ativo na NANDA-I 2024-2026
00492,Risco de equilíbrio do volume de líquidos prejudicado,2,Nutrição,5,Hidratação,"Suscetibilidade a trocas rápidas entre líquido intracelular e/ou extracelular, não incluindo o sangue.",Ativo na NANDA-I 2024-2026
00493,Processos de pensamento conturbados,5,Percepção/cognição,4,Cognição,"Perturbação nos processos mentais envolvidos no desenvolvimento de conceitos e categorias, raciocínio e solução de problemas.",Ativo na NANDA-I 2024-2026
00494,Identidade pessoal conturbada,6,Autopercepção,1,Autoconceito,Inabilidade de manter uma percepção integrada e completa de si mesmo.,Ativo na NANDA-I 2024-2026
00495,Síndrome da identidade familiar conturbada,6,Autopercepção,1,Autoconceito,Inabilidade de criar e manter uma percepção integrada e completa da família.,Ativo na NANDA-I 2024-2026
00496,Risco de síndrome da identidade familiar conturbada,6,Autopercepção,1,Autoconceito,Suscetibilidade à inabilidade de criar e manter uma percepção integrada e completa da família.,Ativo na NANDA-I 2024-2026
00497,Imagem corporal conturbada,6,Autopercepção,3,Imagem corporal,Imagem mental negativa do indivíduo em relação ao seu aspecto físico.,Ativo na NANDA-I 2024-2026
00499,Disposição para conhecimento de saúde melhorado,5,Percepção/cognição,4,Cognição,"Padrão de aquisição, processamento, compreensão e recordação de informações relacionadas a um tópico específico que afete o bem-estar da pessoa, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00500,Risco de infecção de ferida cirúrgica,11,Segurança/proteção,1,Infecção,Suscetibilidade à invasão de organismos patogênicos no local da incisão.,Ativo na NANDA-I 2024-2026
