codigo,label_pt,dominio_num,dominio,classe_num,classe,definicao,status
00259,Risco de síndrome de abstinência de substâncias aguda,9,Enfrentamento/tolerância ao estresse,3,Respostas neurocomportamentais,Suscetibilidade a sequelas multifatoriais graves após a cessação repentina de uma substância aditiva. Fator de risco Desenvolvimento de dependência de substância aditiva,Ativo na NANDA-I 2024-2026
00262,Disposição para letramento em saúde melhorado,1,Promoção da saúde,2,Gestão da saúde,"Padrão de obtenção, avaliação e aplicação de informações e serviços básicos de saúde necessários à tomada de decisão de saúde, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00269,Dinâmica alimentar ineficaz do adolescente,2,Nutrição,1,Ingestão,"Atitudes e comportamentos alimentares alterados que resultam em padrões de alimentação excessiva ou insuficiente, comprometendo a saúde nutricional de indivíduos de 11 a 19 anos de idade.",Ativo na NANDA-I 2024-2026
00270,Dinâmica alimentar ineficaz da criança,2,Nutrição,1,Ingestão,"Alterações em atitudes, comportamentos e influências relacionados aos padrões de alimentação que resultam em saúde nutricional comprometida em indivíduos de 1 a 10 anos de idade.",Ativo na NANDA-I 2024-2026
00271,Dinâmica de alimentação ineficaz do lactente,2,Nutrição,1,Ingestão,Comportamentos alimentares alterados dos pais que resultam em padrões de alimentação excessiva ou insuficiente em crianças com menos de 1 ano de idade.,Ativo na NANDA-I 2024-2026
00272,Risco de mutilação genital feminina,11,Segurança/proteção,3,Violência,"Suscetibilidade à remoção parcial ou total ou a outras lesões nos órgãos reprodutivos externos femininos, por razões não médicas.",Ativo na NANDA-I 2024-2026
00273,Campo de energia desequilibrado,1,Promoção da saúde,1,Percepção da saúde,"Interrupção no campo eletromagnético humano, que costuma ser um todo contínuo único, dinâmico, criativo e não linear.",Ativo na NANDA-I 2024-2026
00274,Risco de termorregulação ineficaz,11,Segurança/proteção,6,Termorregulação,Suscetibilidade à inabilidade de manter ou regular a temperatura corporal dentro de uma faixa de normalidade.,Ativo na NANDA-I 2024-2026
00276,Autogestão ineficaz da saúde,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de sintomas, regime terapêutico e mudanças no estilo de vida associados a viver com uma doença crônica.",Ativo na NANDA-I 2024-2026
00277,Autogestão ineficaz do ressecamento ocular,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados ao filme lacrimal inadequado.",Ativo na NANDA-I 2024-2026
00278,Autogestão ineficaz do linfedema,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados ao edema relacionado com obstrução ou distúrbios dos vasos linfáticos ou linfonodos.",Ativo na NANDA-I 2024-2026
00281,Risco de autogestão ineficaz do linfedema,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados ao edema relacionado com obstrução ou distúrbios dos vasos linfáticos ou linfonodos.",Ativo na NANDA-I 2024-2026
00285,Disposição para luto melhorado,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,"Padrão de respostas à morte de uma pessoa significativa, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00286,Risco de lesão por pressão na criança,11,Segurança/proteção,2,Lesão física,"Suscetibilidade a dano localizado na pele e/ou no tecido subjacente de um indivíduo com 29 dias a ≤ 18 anos de idade, como resultado de pressão ou pressão em combinação com cisalhamento. [European Pressure Ulcer Advisory Panel, 2019.]",Ativo na NANDA-I 2024-2026
00287,Lesão por pressão neonatal,11,Segurança/proteção,2,Lesão física,"Dano localizado na pele e/ou no tecido subjacente de um indivíduo com até 28 dias de idade, como resultado de pressão ou pressão em combinação com cisalhamento. [European Pressure Ulcer Advisory Panel, 2019.]",Ativo na NANDA-I 2024-2026
00288,Risco de lesão por pressão neonatal,11,Segurança/proteção,2,Lesão física,"Suscetibilidade a dano localizado na pele e/ou no tecido subjacente de um indivíduo com até 28 dias de idade, como resultado de pressão ou pressão em combinação com cisalhamento. [European Pressure Ulcer Advisory Panel, 2019.]",Ativo na NANDA-I 2024-2026
00290,Risco de tentativa de fuga,11,Segurança/proteção,2,Lesão física,"Suscetibilidade a escapar de uma área designada sem supervisão, sem ser detectado e/ou contra as recomendações, em indivíduos que são incapazes de se proteger adequadamente ou que podem representar uma ameaça a outros.",Ativo na NANDA-I 2024-2026
00291,Risco de trombose,11,Segurança/proteção,2,Lesão física,Suscetibilidade à obstrução de um vaso sanguíneo por um coágulo de sangue que pode romper e se alojar em outro vaso.,Ativo na NANDA-I 2024-2026
00292,Comportamentos ineficazes de manutenção da saúde,1,Promoção da saúde,2,Gestão da saúde,"Manejo de conhecimento em saúde, atitudes e práticas subjacentes a ações de saúde que é insatisfatório para manter ou melhorar o bem-estar ou prevenir doenças e lesões.",Ativo na NANDA-I 2024-2026
00293,Disposição para autogestão da saúde melhorada,1,Promoção da saúde,2,Gestão da saúde,"Padrão de manejo de sintomas, regime terapêutico, consequências e mudanças no estilo de vida associados a viver com uma condição crônica, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00295,Resposta ineficaz de sucção-deglutição do lactente,13,Crescimento/desenvolvimento,2,Desenvolvimento,Habilidade prejudicada de coordenar a respiração durante o consumo de alimentação oral com segurança em um indivíduo com idade ≤ 1 ano.,Ativo na NANDA-I 2024-2026
00297,Incontinência urinária associada à incapacidade,3,Eliminação e troca,1,Função urinária,Inabilidade de chegar ao banheiro após sensação de urgência para evitar a perda não intencional de urina devido a condições físicas ou cognitivas.,Ativo na NANDA-I 2024-2026
00298,Tolerância à atividade diminuída,4,Atividade/repouso,3,Equilíbrio de energia,Resistência insuficiente para completar as atividades diárias necessárias ou desejadas.,Ativo na NANDA-I 2024-2026
00299,Risco de tolerância à atividade diminuída,4,Atividade/repouso,3,Equilíbrio de energia,Suscetibilidade a vivenciar resistência insuficiente para completar as atividades diárias necessárias ou desejadas.,Ativo na NANDA-I 2024-2026
00300,Comportamentos ineficazes de manutenção do lar,1,Promoção da saúde,2,Gestão da saúde,Padrão insatisfatório de conhecimento e atividades para a manutenção segura da residência do indivíduo.,Ativo na NANDA-I 2024-2026
00301,Luto desadaptativo,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Respostas à morte de uma pessoa significativa em que a experiência de sofrimento que acompanha o luto não atende às expectativas socioculturais.,Ativo na NANDA-I 2024-2026
00302,Risco de luto desadaptativo,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Suscetibilidade a respostas à morte de uma pessoa significativa em que a experiência de sofrimento que acompanha o luto não atende às expectativas socioculturais.,Ativo na NANDA-I 2024-2026
00303,Risco de quedas no adulto,11,Segurança/proteção,2,Lesão física,"Suscetibilidade de um indivíduo > 18 anos de idade de passar por um evento que resulta em deslocamento inadvertido para o chão, o piso ou outra área de superfície inferior.",Ativo na NANDA-I 2024-2026
00304,Risco de lesão por pressão no adulto,11,Segurança/proteção,2,Lesão física,"Suscetibilidade de um indivíduo > 18 anos a dano localizado na pele e/ou no tecido subjacente, como resultado de pressão ou pressão em combinação com cisalhamento. [European Pressure Ulcer Advisory Panel, 2019.]",Ativo na NANDA-I 2024-2026
00305,Risco de desenvolvimento atrasado da criança,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Suscetibilidade a falha consistente em atingir os marcos de desenvolvimento dentro do prazo esperado, em indivíduos de 1 a 9 anos de idade.",Ativo na NANDA-I 2024-2026
00306,Risco de quedas na criança,11,Segurança/proteção,2,Lesão física,"Suscetibilidade de um indivíduo ≤ 18 anos de idade de passar por um evento que resulta em deslocamento inadvertido para o chão, o piso ou outra área de superfície inferior.",Ativo na NANDA-I 2024-2026
00307,Disposição para engajamento em exercícios melhorado,1,Promoção da saúde,2,Gestão da saúde,"Padrão de atenção à atividade física caracterizado por movimentos corporais planejados, estruturados e repetitivos, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00308,Risco de comportamentos ineficazes de manutenção do lar,1,Promoção da saúde,2,Gestão da saúde,Suscetibilidade a padrão insatisfatório de conhecimento e atividades para a manutenção segura da residência do indivíduo.,Ativo na NANDA-I 2024-2026
00309,Disposição para comportamentos melhorados de manutenção do lar,1,Promoção da saúde,2,Gestão da saúde,"Padrão de conhecimento e atividades para a manutenção segura da residência do indivíduo, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00310,Incontinência urinária mista,3,Eliminação e troca,1,Função urinária,Perda involuntária de urina acompanhada ou precedida de uma forte sensação de urgência para urinar e também de atividades que aumentam a pressão intra-abdominal.,Ativo na NANDA-I 2024-2026
00311,Risco de função cardiovascular prejudicada,4,Atividade/repouso,4,Respostas cardiovasculares/pulmonares,"Suscetibilidade a alterações no processo normal de transporte de substâncias, homeostase corporal, remoção de resíduos metabólicos dos tecidos e função dos órgãos.",Ativo na NANDA-I 2024-2026
00312,Lesão por pressão no adulto,11,Segurança/proteção,2,Lesão física,"Dano localizado na pele e/ou no tecido subjacente de um indivíduo com > 18 anos de idade, como resultado de pressão ou pressão em combinação com cisalhamento. [European Pressure Ulcer Advisory Panel, 2019.]",Ativo na NANDA-I 2024-2026
00313,Lesão por pressão na criança,11,Segurança/proteção,2,Lesão física,"Dano localizado na pele e/ou no tecido subjacente de um indivíduo com 29 dias a ≤ 18 anos de idade como resultado de pressão ou pressão em combinação com cisalhamento. [European Pressure Ulcer Advisory Panel, 2019.]",Ativo na NANDA-I 2024-2026
00314,Desenvolvimento atrasado da criança,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Falha consistente em atingir os marcos de desenvolvimento dentro do prazo esperado, em indivíduos de 1 a 9 anos de idade.",Ativo na NANDA-I 2024-2026
00315,Desenvolvimento motor atrasado do lactente,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Falha consistente em atingir marcos de desenvolvimento relacionados ao fortalecimento normal dos ossos e músculos e à habilidade de mover-se e tocar no ambiente que o cerca, em um indivíduo de 29 dias a 1 ano de idade.",Ativo na NANDA-I 2024-2026
00316,Risco de desenvolvimento motor atrasado do lactente,13,Crescimento/desenvolvimento,2,Desenvolvimento,"Suscetibilidade a falha consistente em atingir marcos de desenvolvimento relacionados ao fortalecimento normal dos ossos e músculos e à habilidade de mover-se e tocar no ambiente que o cerca, em indivíduo de 29 dias a 1 ano de idade.",Ativo na NANDA-I 2024-2026
00322,Risco de retenção urinária,3,Eliminação e troca,1,Função urinária,Suscetibilidade a esvaziamento incompleto da bexiga.,Ativo na NANDA-I 2024-2026
00323,Comportamentos ineficazes de higiene do sono,4,Atividade/repouso,1,Sono/repouso,"Dificuldade de utilizar consistentemente práticas, rituais e hábitos que resultam no início ou na manutenção do sono e em um sono reparador.",Ativo na NANDA-I 2024-2026
00324,Risco de mobilidade física prejudicada,4,Atividade/repouso,2,Atividade/exercício,Suscetibilidade a limitação do movimento independente e intencional do corpo ou de uma ou mais extremidades.,Ativo na NANDA-I 2024-2026
00325,Autocompaixão inadequada,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,"Habilidade insuficiente de estender bondade e compreensão para consigo mesmo, reconhecer sua conexão com a experiência humana mais ampla, estar atento e autoconsciente de seus pensamentos e sentimentos em momentos de falhas, limitações ou sofrimento.",Ativo na NANDA-I 2024-2026
00326,Habilidade de banhar-se diminuída,4,Atividade/repouso,5,Autocuidado,Diminuição da competência associada à limpeza do corpo de forma independente.,Ativo na NANDA-I 2024-2026
00327,Habilidade de vestir-se diminuída,4,Atividade/repouso,5,Autocuidado,Diminuição da competência associada a colocar ou remover as roupas de forma independente.,Ativo na NANDA-I 2024-2026
00328,Habilidade de alimentar-se diminuída,4,Atividade/repouso,5,Autocuidado,Diminuição da competência associada à ingestão alimentar independente.,Ativo na NANDA-I 2024-2026
00329,Habilidade de utilizar o vaso sanitário diminuída,4,Atividade/repouso,5,Autocuidado,Diminuição da competência associada à realização de tarefas relacionadas à eliminação de forma independente.,Ativo na NANDA-I 2024-2026
00330,Habilidade de cuidados pessoais diminuída,4,Atividade/repouso,5,Autocuidado,Diminuição da competência associada à manutenção da aparência de forma independente.,Ativo na NANDA-I 2024-2026
00331,Síndrome da habilidade de autocuidado diminuída,4,Atividade/repouso,5,Autocuidado,Diminuição do desempenho independente de múltiplas atividades da vida diária.,Ativo na NANDA-I 2024-2026
00332,Risco de síndrome da habilidade de autocuidado diminuída,4,Atividade/repouso,5,Autocuidado,Suscetibilidade a uma diminuição do desempenho independente de múltiplas atividades da vida diária.,Ativo na NANDA-I 2024-2026
00333,Produção inadequada de leite humano,2,Nutrição,1,Ingestão,Lactação insuficiente para atender exclusivamente às necessidades nutricionais de um lactente nos primeiros 6 meses de vida.,Ativo na NANDA-I 2024-2026
00334,Risco de produção inadequada de leite humano,2,Nutrição,1,Ingestão,Suscetibilidade a lactação insuficiente para atender exclusivamente às necessidades nutricionais de um lactente nos primeiros 6 meses de vida.,Ativo na NANDA-I 2024-2026
